AHL DESIGN & ENGINEERING SRL - PLANILHA FINANCEIRA 2023
,,,
INFORMAÇÕES DA EMPRESA,,
Nome da Empresa,AHL Design & Engineering SRL,
Endereço,30 Avenue Général Leclerc - 38200 VIENNE,
SIREN,921 210 027,
Período,01/01/2023 a 31/12/2023,
,,
BALANÇO PATRIMONIAL - ATIVO (em RON),2023,2022,Variação %
,,
ATIVO IMOBILIZADO,490691,498020,-1.5%
- Frais d'établissement,0,0,0%
- Recherche et développement,598,1327,-54.9%
- Concessions brevets marques,0,0,0%
- Terrains,0,0,0%
- Constructions,138239,165982,-16.7%
- Instalações técnicas,0,0,0%
- Outras imobilizações corpóreas,0,0,0%
- Participações,351854,330711,6.4%
- Outras imobilizações financeiras,0,0,0%
,,
ATIVO CIRCULANTE,15724758,10591153,48.4%
- Matérias-primas,705862,0,0%
- Produtos em curso,0,0,0%
- Avances sur commandes,109370,567648,-80.7%
- Clientes e contas relacionadas,8155227,3586631,127.4%
- Fornecedores devedores,69444,0,0%
- Estado impostos,169203,0,0%
- Estado taxas,1610060,2357072,-31.7%
- Outros,22414,11096,102.3%
- Disponibilidades (Caixa),5462543,3216207,69.8%
- Charges constatées d'avance,226497,77434,192.4%
,,
TOTAL ATIVO,16215449,11089173,46.2%
,,
BALANÇO PATRIMONIAL - PASSIVO (em RON),2023,2022,Variação %
,,
CAPITAL PRÓPRIO,5473932,4021326,36.1%
- Capital social,5400,5400,0%
- Primes d'émission,1080,1080,0%
- Reservas,4014845,3625525,10.7%
- Resultado do exercício,1452607,389321,273.0%
,,
EMPRÉSTIMOS E DÍVIDAS,10741517,7067847,52.0%
- Empréstimos bancários,848377,239564,254.0%
- Avances reçus sur commandes,2535039,2415458,5.0%
- Dívidas com fornecedores,6200374,4012516,54.5%
- Dívidas fiscais e sociais,1155262,259326,345.4%
  * Segurança social,581529,212686,173.4%
  * Impostos sobre vendas,573733,46668,1129.5%
- Outras dívidas,1157727,400309,189.1%
,,
TOTAL PASSIVO,16215449,11089173,46.2%
,,
DEMONSTRATIVO DE RESULTADOS (em RON),2023,2022,Variação %
,,
RECEITAS,,
- Vendas de mercadorias,119722,28723,316.8%
- Produção vendida de serviços,45626970,17968685,154.0%
- Chiffres d'Affaires Nets (Faturamento),45746692,17997408,154.2%
- Produção stockée,-705862,0,0%
- Outros produtos,28099,25221,11.4%
- Total produtos exploração,45068929,18728491,140.6%
,,
DESPESAS,,
- Achats de matières premières,9170811,3590970,155.4%
- Autres achats et charges externes,17633929,10523976,67.6%
- Impôts taxes et versements,29272,22122,32.3%
- Salários e tratamentos,13156204,3892973,238.0%
- Charges sociales,2823344,91512,2985.4%
- Dotações aux amortissements,58359,44296,31.8%
- Outras despesas,36330,19553,85.8%
- Total despesas exploração,42908249,18185568,136.0%
,,
RESULTADO OPERACIONAL,2160680,542923,298.0%
,,
PRODUTOS FINANCEIROS,420985,261340,61.0%
CHARGES FINANCEIRAS,515260,344423,49.6%
RESULTADO FINANCEIRO,-94275,-83083,13.5%
,,
RESULTADO ANTES IMPOSTOS,2066405,459840,349.5%
,,
CHARGES EXCEPCIONAIS,187223,918,20299.0%
PARTICIPAÇÃO FUNCIONÁRIOS,426577,69601,512.6%
,,
TOTAL PRODUTOS,45489914,18989831,139.6%
TOTAL DESPESAS,44037309,18600510,136.7%
,,
RESULTADO LÍQUIDO,1452605,389321,273.0%
,,
INDICADORES FINANCEIROS,2023,2022,
,,
Margem de Lucro Líquido,3.2%,2.1%,
Margem Operacional,4.7%,2.9%,
Crescimento Vendas,154.2%,0%,
Crescimento Lucro,273.0%,0%,
Crescimento Ativo,46.2%,0%,
Crescimento Capital Próprio,36.1%,0%,
,,
ANÁLISE FINANCEIRA,,
,,
PONTOS FORTES,,
- Crescimento explosivo em vendas (+154%),,
- Lucro líquido cresceu 273%,,
- Margem de lucro melhorou de 2,1% para 3,2%,,
- Boa liquidez (5,4 milhões em caixa),,
- Investimento em funcionários (participação +513%),,
,,
PONTOS DE ATENÇÃO,,
- Dívidas aumentaram 52%,,
- Muitas contas a receber (8,1 milhões),,
- Impostos em atraso (573 mil),,
- Dívidas sociais altas (581 mil),,
,,
CONCLUSÃO,,
Empresa em forte crescimento com excelente performance financeira,,
mas precisa controlar endividamento e inadimplência.,,
